UserID,cenario,media.dfs,dimensao1.dfs,dimensao2.dfs,dimensao3.dfs,dimensao4.dfs,dimensao5.dfs,dimensao6.dfs,dimensao7.dfs,dimensao8.dfs,dimensao9.dfs,media.fss,dimensao1.fss,dimensao2.fss,dimensao3.fss,dimensao4.fss,dimensao5.fss,dimensao6.fss,dimensao7.fss,dimensao8.fss,dimensao9.fss
00552973,não gamificado,2.227777778,2.25,2,2.5,2.75,1.5,2.8,2.25,2.5,1.5,2.333333333,3.5,2.25,2.5,1.25,1.5,2.25,2,4,1.75
093da413,não gamificado,3.194444444,3,3.25,3.25,4.75,2.75,3,2.75,3.25,2.75,1.527777778,3.25,3.5,1,1,1,1,1,1,1
0cacbb98,gamificado,3.714285714,3.25,2.25,3,3,4,3.75,2.75,1.75,2.25,4.027777778,3.75,4.5,4.25,4.25,3.75,3.75,4,4.5,3.5
1183088b,gamificado,3.85,3.25,4.25,4.25,4,3.75,4.4,3.75,3.5,3.5,4.111111111,4.5,4.75,4.5,3.25,2.75,4.75,3.25,5,4.25
14121700,gamificado,2.244444444,2.75,1.75,2.75,3,2.25,2.2,1.75,2,1.75,3.527777778,3.25,4,2.5,3.75,3.5,4.5,2.25,4.5,3.5
29f829ab,não gamificado,2.627777778,2,2.5,2.75,1.5,3.5,3.4,3.5,2,2.5,2.388888889,1.75,1.5,3.25,4,2.25,2.25,2.25,2.25,2
2c693620,não gamificado,3.972222222,3.25,3.75,3.75,4,4.75,4,3.75,4.5,4,2.166666667,2.75,2,1.75,2.25,2.75,1.5,1.25,2,3.25
2d7b15a3,não gamificado,2.088888889,1.5,1.75,2.5,2.75,2,1.8,2,2.25,2.25,2.277777778,1.75,1.75,3.75,2.5,3.25,2.25,2.25,2,1
31468533,gamificado,2.666666667,3,3.25,2,1.5,2.5,3,1.75,3.75,3.25,3.416666667,4.25,3.25,3,3.75,3.5,2.75,2.75,4,3.5
3362c235,gamificado,2.638888889,4,3,1.5,3.5,2,1,3,3.25,2.5,2.972222222,4,3,3.25,2.75,3,2.75,2.5,3.25,2.25
34d79ab8,não gamificado,2.183333333,1.25,2.75,3.75,2.25,2.25,2.4,2,1.5,1.5,2.111111111,2.75,2.25,1.5,2,2.75,1.75,2,2.5,1.5
35c5b93b,não gamificado,2.172222222,2.25,1.25,3.25,3.25,1.25,1.8,2.75,1.5,2.25,1.75,1.5,1.5,1.75,2,1.5,1.25,2.75,2,1.5
3b4ccbc1,gamificado,4.094444444,4.25,4.5,4.5,2.75,4,4.6,4,4,4.25,4.083333333,4.5,5,4.25,4.25,3.5,4.25,4,3.5,3.5
4779490d,não gamificado,4.011111111,4.5,5,4.25,4.25,3.5,3.6,4,3.5,3.5,2.666666667,3.25,5,1.25,1.25,1.25,1.75,4.5,2.5,3.25
49a49ce0,gamificado,3.666666667,1,4,4.25,4,3.5,4,4.5,4.25,3.5,4.111111111,4.25,4.5,4.5,3.75,4.5,4.25,3.75,4,3.5
4c35836b,gamificado,4.161111111,4.25,5,4.25,4.25,4.25,4.2,4.5,3.5,3.25,4.027777778,4,4.75,4.5,4,4.25,3,3.25,4.5,4
4d27a0e8,gamificado,4.083333333,3,4,4.25,4.5,4,4,5,4.75,3.25,4.277777778,4,4.75,4.25,3.75,4.25,4.25,5,4.5,3.75
500813fb,gamificado,1.95,2,1.25,2.75,2,2,1.8,2.25,1.75,1.75,3.555555556,4.25,2.75,3.75,2.25,4.25,3.75,3,4.5,3.5
511a3078,gamificado,2.838888889,3.25,1.5,2,3.75,2.75,3.8,2.25,3.25,3,3.277777778,3,3.25,3.25,4.75,2.75,3.75,2.75,3.25,2.75
56af68f5,não gamificado,3.811111111,2.75,4.5,4.25,4.25,3.75,2.8,4,4.5,3.5,2.805555556,1.5,2,1.5,3.5,3.5,1.75,3.5,4.25,3.75
60099c38,não gamificado,2.316666667,1.75,3,3.25,4.25,2.5,1.6,1.75,1.5,1.25,3.694444444,2,3.75,4.25,4,3.75,4.5,4.25,3,3.75
69611158,gamificado,3.244444444,4,3,3.75,2.25,3.25,3.2,3.75,3,3,3.472222222,3.5,4,3.5,3.5,2.5,3.75,3.75,3.25,3.5
6a5775dd,gamificado,2.738888889,3.25,2.25,4.25,2.25,1.75,3.4,2.5,2,3,4.194444444,4.25,4.25,4.75,4.5,4,4.5,3.75,4.25,3.5
6cf00ed3,não gamificado,4.094444444,4,4.75,4.5,4,4.25,3.6,3.25,4.5,4,2.888888889,2.25,4.25,2.25,3,4.5,2.75,2.25,3,1.75
71dfbdc0,não gamificado,4.055555556,3.25,4.5,4.5,3.25,3.75,4,4.5,4.5,4.25,2.361111111,2.5,1.5,2,2,2.5,1.25,2,3.5,4
744ea24b,gamificado,2.338888889,2.75,1.75,3.75,2.5,3.25,1.8,2.25,2,1,3.055555556,3,1.5,4.5,2,3.25,4.5,2.25,2.5,4
7d262f2b,gamificado,2.966666667,2,3.5,3.25,3,3.5,2.2,3,2.75,3.5,2.944444444,3.5,3.5,2.25,2,3,2.5,4,3.25,2.5
8b39b170,gamificado,2.605555556,1.75,1.5,3.25,4,2.25,4.2,2.25,2.25,2,2.805555556,2.25,2.5,4.5,2.75,2,3,4.25,2.5,1.5
8c8ce9fd,não gamificado,4.272222222,3.75,4.5,4.5,4.25,4,4.2,5,4.25,4,2.583333333,2.25,4.25,1.25,2,3.75,2,2.75,1.5,3.5
8d9eca7e,gamificado,2.155555556,1.25,2,3.5,2.75,2.25,1.4,3,1.5,1.75,4.138888889,3.75,4,4.75,4,4.5,4.25,3.75,4.5,3.75
90b1796d,não gamificado,2.061111111,2,2.25,2.75,2.5,1.75,1.8,2.25,1,2.25,1.888888889,1,1.25,2.75,2,2,2.25,2.25,1.75,1.75
94324565,gamificado,2.011111111,1.25,1.25,2.25,2.5,2.75,1.6,2.25,1.5,2.75,3.527777778,3,3.25,4.5,3.75,3.25,4.25,3.5,3,3.25
a0b0f6ae,gamificado,2.027777778,1.75,2.25,1.5,2,2.75,2,2,2.5,1.5,3,1.5,2.75,2.5,2.75,4,2,4,3.25,4.25
