UserID,realizacao,social,imersao,cenario,media,dimensao1,dimensao2,dimensao3,dimensao4,dimensao5,dimensao6,dimensao7,dimensao8,dimensao9
093da413,3.7142857142857144,4.571428571428571,2.6,gamificado,3.027777778,4,3.5,2.75,1.5,3.5,4,3.5,2,2.5
0cacbb98,3,2.4285714285714284,4,gamificado,2.944444444,3.5,3.5,2.25,2,3,2.5,4,3.25,2.5
0ec7e6c2,3.142857142857143,4.285714285714286,2.8,gamificado,3,1.5,2.75,2.5,2.75,4,2,4,3.25,4.25
1183088b,3.2857142857142856,2,3.4,não gamificado,2.222222222,2,3,3.75,1.25,1.25,2,2.75,1,3
14121700,3.142857142857143,2.2857142857142856,3.4,não gamificado,2.333333333,3.5,2.25,2.5,1.25,1.5,2.25,2,4,1.75
16365006,3.4285714285714284,2.2857142857142856,1.6,não gamificado,3.027777778,2,3.5,3.25,3,3.5,2.75,3,2.75,3.5
29f829ab,3.142857142857143,4.571428571428571,2.6,não gamificado,3.694444444,2,3.75,4.25,4,3.75,4.5,4.25,3,3.75
2c693620,3.142857142857143,3.7142857142857144,3.6,não gamificado,2.666666667,3.25,5,1.25,1.25,1.25,1.75,4.5,2.5,3.25
2d7b15a3,4.285714285714286,1.8571428571428572,3.2,gamificado,3.361111111,4.75,2.5,3.25,4.75,3,3,4,3.25,1.75
3054a6b0,2.5714285714285716,3.7142857142857144,2,não gamificado,2.111111111,3,1.5,1.25,1.5,1.75,1.75,1.75,3.5,3
3362c235,3.142857142857143,3.5714285714285716,3,gamificado,4.138888889,3.75,4,4.75,4,4.5,4.25,3.75,4.5,3.75
34d79ab8,4.142857142857143,4,3.6,gamificado,3.555555556,4.25,2.75,3.75,2.25,4.25,3.75,3,4.5,3.5
35c5b93b,2.857142857142857,4.142857142857143,4.8,não gamificado,2.277777778,1.75,1.75,3.75,2.5,3.25,2.25,2.25,2,1
3b4ccbc1,3.142857142857143,3.4285714285714284,3.2,não gamificado,2.027777778,1.25,1.25,2.25,2.5,2.75,1.75,2.25,1.5,2.75
4779490d,2,3.142857142857143,3.4,gamificado,4.277777778,4,4.75,4.25,3.75,4.25,4.25,5,4.5,3.75
49a49ce0,3.142857142857143,3.7142857142857144,2,não gamificado,1.888888889,1,1.25,2.75,2,2,2.25,2.25,1.75,1.75
4c35836b,2.142857142857143,3.2857142857142856,3.8,não gamificado,2.666666667,1.25,4.5,2.5,1.75,4,1.75,2,2,4.25
4d27a0e8,3.4285714285714284,2.857142857142857,4,gamificado,4.194444444,4.25,4.25,4.75,4.5,4,4.5,3.75,4.25,3.5
511a3078,2.142857142857143,3.142857142857143,3.2,gamificado,4.027777778,4,4.75,4.5,4,4.25,3,3.25,4.5,4
56af68f5,3.7142857142857144,4,4.4,gamificado,3,3.5,2.25,2.25,3.75,3.25,4,3.5,2,2.5
60099c38,2.7142857142857144,4.142857142857143,3.8,não gamificado,2.166666667,2.75,2,1.75,2.25,2.75,1.5,1.25,2,3.25
69611158,3.142857142857143,4,3.8,gamificado,3.277777778,3,3.25,3.25,4.75,2.75,3.75,2.75,3.25,2.75
6a5775dd,2.7142857142857144,2.7142857142857144,2.6,não gamificado,2.583333333,2.25,4.25,1.25,2,3.75,2,2.75,1.5,3.5
