UserID,cenario
7b3f904c,gamificado
c0ec43e5,não gamificado
7d262f2b,gamificado
a0b0f6ae,não gamificado
ddc3f0f6,gamificado
552973,não gamificado
bd9f45bd,gamificado
60099c38,não gamificado
4779490d,gamificado
9aef9088,não gamificado
edc27f35,gamificado
3054a6b0,não gamificado
8d9eca7e,gamificado
500813fb,não gamificado
2d7b15a3,gamificado
f0edcc26,não gamificado
4d27a0e8,gamificado
90b1796d,não gamificado
b7c1ac58,gamificado
6a5775dd,não gamificado
91a35aee,gamificado
4c35836b,não gamificado
f1ffefa5,gamificado
2c693620,não gamificado
511a3078,gamificado
8c8ce9fd,não gamificado
31468533,gamificado
ecd05cb6,não gamificado
cba08983,gamificado
16365006,não gamificado
0cacbb98,gamificado
d13a621d,não gamificado
6cf00ed3,gamificado
b166d756,não gamificado
cc15d10e,gamificado
1183088b,não gamificado
ac496445,gamificado
71dfbdc0,não gamificado
56af68f5,gamificado
8b39b170,não gamificado
69611158,gamificado
b4f7c8dd,não gamificado
093da413,gamificado
d4ab7d96,não gamificado
a9d87bce,gamificado
744ea24b,não gamificado
c984ce85,gamificado
14121700,não gamificado
3362c235,gamificado
eef41bb0,não gamificado
f46ef02e,gamificado
29f829ab,não gamificado
94324565,gamificado
49a49ce0,não gamificado
34d79ab8,gamificado
e941433d,não gamificado
0ec7e6c2,gamificado
35c5b93b,não gamificado
be4d70e5,gamificado
3b4ccbc1,não gamificado
dc9e6a2e,gamificado
