UserID,cenario,realizacao,social,imersao,media,dimensao1,dimensao2,dimensao3,dimensao4,dimensao5,dimensao6,dimensao7,dimensao8,dimensao9,nota.pos,nota.pre,dif.nota
00552973,não gamificado,3.2857142857142856,1.4285714285714286,1.2,2.227777778,2.25,2,2.5,2.75,1.5,2.8,2.25,2.5,1.5,9.069007745943964,2.6186827421188354,6.450325003825128
093da413,não gamificado,3.7142857142857144,4.571428571428571,2.6,3.194444444,3,3.25,3.25,4.75,2.75,3,2.75,3.25,2.75,6.260898501146585,3.857933721970767,2.402964779175818
0cacbb98,gamificado,3,2.4285714285714284,4,3.714285714,3.25,2.25,3,3,4,3.75,2.75,1.75,2.25,6.245016327127814,1.0602220275904983,5.184794299537316
0ec7e6c2,gamificado,3.142857142857143,4.285714285714286,2.8,3.283333333,3,3,4,3.5,3.25,3.8,3.25,3,2.75,4.624471816234291,2.7490917856339365,1.875380030600354
1183088b,gamificado,3.2857142857142856,2,3.4,3.85,3.25,4.25,4.25,4,3.75,4.4,3.75,3.5,3.5,8.690938390791416,3.420083288801834,5.270855101989582
14121700,gamificado,3.142857142857143,2.2857142857142856,3.4,2.244444444,2.75,1.75,2.75,3,2.25,2.2,1.75,2,1.75,6.174410274717957,1.7614623894914985,4.412947885226458
29f829ab,não gamificado,3.142857142857143,4.571428571428571,2.6,2.627777778,2,2.5,2.75,1.5,3.5,3.4,3.5,2,2.5,8.377789986785501,1.8511353305075318,6.5266546562779695
2c693620,não gamificado,3.142857142857143,3.7142857142857144,3.6,3.972222222,3.25,3.75,3.75,4,4.75,4,3.75,4.5,4,8.118942106608301,1.3519936818629503,6.766948424745351
2d7b15a3,não gamificado,4.285714285714286,1.8571428571428572,3.2,2.088888889,1.5,1.75,2.5,2.75,2,1.8,2,2.25,2.25,4.364693349227309,2.4272515170741826,1.9374418321531266
3054a6b0,gamificado,2.5714285714285716,3.7142857142857144,2,3.072222222,3.25,4.25,2.25,3,4.5,3.4,2.25,3,1.75,9.864301460795105,2.8436864719260484,7.020614988869056
31468533,gamificado,2.2857142857142856,3.4285714285714284,3.2,2.666666667,3,3.25,2,1.5,2.5,3,1.75,3.75,3.25,5.043902900535613,1.2248702535871416,3.8190326469484717
3362c235,gamificado,3.142857142857143,3.5714285714285716,3,2.638888889,4,3,1.5,3.5,2,1,3,3.25,2.5,5.826866743620485,1.1193419110495597,4.707524832570925
34d79ab8,não gamificado,4.142857142857143,4,3.6,2.183333333,1.25,2.75,3.75,2.25,2.25,2.4,2,1.5,1.5,6.506662610452622,3.5348006195854396,2.9718619908671826
35c5b93b,não gamificado,2.857142857142857,4.142857142857143,4.8,2.172222222,2.25,1.25,3.25,3.25,1.25,1.8,2.75,1.5,2.25,9.330451902467757,3.5871986190322787,5.743253283435479
3b4ccbc1,gamificado,3.142857142857143,3.4285714285714284,3.2,4.094444444,4.25,4.5,4.5,2.75,4,4.6,4,4,4.25,8.91373229958117,2.067284697201103,6.846447602380067
4779490d,não gamificado,2,3.142857142857143,3.4,4.011111111,4.5,5,4.25,4.25,3.5,3.6,4,3.5,3.5,4.541932505555451,2.895366615150124,1.646565890405327
49a49ce0,gamificado,3.142857142857143,3.7142857142857144,2,3.666666667,1,4,4.25,4,3.5,4,4.5,4.25,3.5,8.512225247453898,2.285839274059981,6.226385973393917
