UserID,cenario,realizacao,social,imersao,media,dimensao1,dimensao2,dimensao3,dimensao4,dimensao5,dimensao6,dimensao7,dimensao8,dimensao9
00552973,não gamificado,3.2857142857142856,1.4285714285714286,1.2,2.333333333,3.5,2.25,2.5,1.25,1.5,2.25,2,4,1.75
093da413,não gamificado,3.7142857142857144,4.571428571428571,2.6,1.527777778,3.25,3.5,1,1,1,1,1,1,1
0cacbb98,gamificado,3,2.4285714285714284,4,4.027777778,3.75,4.5,4.25,4.25,3.75,3.75,4,4.5,3.5
1183088b,gamificado,3.2857142857142856,2,3.4,4.111111111,4.5,4.75,4.5,3.25,2.75,4.75,3.25,5,4.25
14121700,gamificado,3.142857142857143,2.2857142857142856,3.4,3.527777778,3.25,4,2.5,3.75,3.5,4.5,2.25,4.5,3.5
16365006,gamificado,3.4285714285714284,2.2857142857142856,1.6,3.772222222,3,3,4.25,3.2,4.5,4.5,4.25,4,3.25
29f829ab,não gamificado,3.142857142857143,4.571428571428571,2.6,2.388888889,1.75,1.5,3.25,4,2.25,2.25,2.25,2.25,2
2c693620,não gamificado,3.142857142857143,3.7142857142857144,3.6,2.166666667,2.75,2,1.75,2.25,2.75,1.5,1.25,2,3.25
2d7b15a3,não gamificado,4.285714285714286,1.8571428571428572,3.2,2.277777778,1.75,1.75,3.75,2.5,3.25,2.25,2.25,2,1
31468533,gamificado,2.2857142857142856,3.4285714285714284,3.2,3.416666667,4.25,3.25,3,3.75,3.5,2.75,2.75,4,3.5
3362c235,gamificado,3.142857142857143,3.5714285714285716,3,2.972222222,4,3,3.25,2.75,3,2.75,2.5,3.25,2.25
34d79ab8,não gamificado,4.142857142857143,4,3.6,2.111111111,2.75,2.25,1.5,2,2.75,1.75,2,2.5,1.5
35c5b93b,não gamificado,2.857142857142857,4.142857142857143,4.8,1.75,1.5,1.5,1.75,2,1.5,1.25,2.75,2,1.5
3b4ccbc1,gamificado,3.142857142857143,3.4285714285714284,3.2,4.083333333,4.5,5,4.25,4.25,3.5,4.25,4,3.5,3.5
4779490d,não gamificado,2,3.142857142857143,3.4,2.666666667,3.25,5,1.25,1.25,1.25,1.75,4.5,2.5,3.25
49a49ce0,gamificado,3.142857142857143,3.7142857142857144,2,4.111111111,4.25,4.5,4.5,3.75,4.5,4.25,3.75,4,3.5
4c35836b,gamificado,2.142857142857143,3.2857142857142856,3.8,4.027777778,4,4.75,4.5,4,4.25,3,3.25,4.5,4
4d27a0e8,gamificado,3.4285714285714284,2.857142857142857,4,4.277777778,4,4.75,4.25,3.75,4.25,4.25,5,4.5,3.75
500813fb,gamificado,2,3.142857142857143,3.8,3.555555556,4.25,2.75,3.75,2.25,4.25,3.75,3,4.5,3.5
511a3078,gamificado,2.142857142857143,3.142857142857143,3.2,3.277777778,3,3.25,3.25,4.75,2.75,3.75,2.75,3.25,2.75
56af68f5,não gamificado,3.7142857142857144,4,4.4,2.805555556,1.5,2,1.5,3.5,3.5,1.75,3.5,4.25,3.75
60099c38,não gamificado,2.7142857142857144,4.142857142857143,3.8,3.694444444,2,3.75,4.25,4,3.75,4.5,4.25,3,3.75
69611158,gamificado,3.142857142857143,4,3.8,3.472222222,3.5,4,3.5,3.5,2.5,3.75,3.75,3.25,3.5
6a5775dd,gamificado,2.7142857142857144,2.7142857142857144,2.6,4.194444444,4.25,4.25,4.75,4.5,4,4.5,3.75,4.25,3.5
6cf00ed3,não gamificado,2.5714285714285716,4.142857142857143,3.6,2.888888889,2.25,4.25,2.25,3,4.5,2.75,2.25,3,1.75
71dfbdc0,não gamificado,2.142857142857143,3.857142857142857,3.6,2.361111111,2.5,1.5,2,2,2.5,1.25,2,3.5,4
744ea24b,gamificado,3.5714285714285716,2.7142857142857144,2.8,3.055555556,3,1.5,4.5,2,3.25,4.5,2.25,2.5,4
7d262f2b,gamificado,3.142857142857143,1.5714285714285714,2.2,2.944444444,3.5,3.5,2.25,2,3,2.5,4,3.25,2.5
8b39b170,gamificado,1.8571428571428572,3.4285714285714284,2,2.805555556,2.25,2.5,4.5,2.75,2,3,4.25,2.5,1.5
8c8ce9fd,não gamificado,2,2.857142857142857,2.6,2.583333333,2.25,4.25,1.25,2,3.75,2,2.75,1.5,3.5
8d9eca7e,gamificado,4,3.5714285714285716,2.2,4.138888889,3.75,4,4.75,4,4.5,4.25,3.75,4.5,3.75
90b1796d,não gamificado,2.857142857142857,3.4285714285714284,2.8,1.888888889,1,1.25,2.75,2,2,2.25,2.25,1.75,1.75
94324565,gamificado,1.5714285714285714,4.142857142857143,2.4,3.527777778,3,3.25,4.5,3.75,3.25,4.25,3.5,3,3.25
9aef9088,gamificado,3.2857142857142856,4,3,3.361111111,4.75,2.5,3.25,4.75,3,3,4,3.25,1.75
a0b0f6ae,gamificado,2.857142857142857,3.142857142857143,3.2,3,1.5,2.75,2.5,2.75,4,2,4,3.25,4.25
a9d87bce,gamificado,2.7142857142857144,2.5714285714285716,2.2,4.027777778,2.75,4.5,4.25,4.75,3.5,4,4.25,4.25,4
ac496445,gamificado,2.2857142857142856,3.2857142857142856,3.6,3.083333333,3,2.25,4.75,2.5,3.75,3,2.25,3,3.25
b4f7c8dd,não gamificado,3.4285714285714284,3.142857142857143,3.4,2.583333333,2.25,3.75,4,3.75,1,1.5,2.5,1.75,2.75
b7c1ac58,não gamificado,3.4285714285714284,3,3.8,2.666666667,1.25,4.5,2.5,1.75,4,1.75,2,2,4.25
bd9f45bd,não gamificado,2.857142857142857,3,1.8,3.027777778,2,3.5,3.25,3,3.5,2.75,3,2.75,3.5
be4d70e5,não gamificado,3.7142857142857144,3.5714285714285716,3,2.694444444,3.25,2.25,4.25,2.25,1.75,3,2.5,2,3
c0ec43e5,gamificado,3.5714285714285716,3,4.6,3.027777778,4,3.5,2.75,1.5,3.5,4,3.5,2,2.5
c984ce85,não gamificado,3.5714285714285716,2.5714285714285716,4.4,1.888888889,1.25,1.5,3.5,1.75,2.5,1,2,1,2.5
cba08983,não gamificado,1.5714285714285714,3.2857142857142856,2,2.194444444,1.75,1.75,2.75,3,2.25,2.75,1.75,2,1.75
cc15d10e,não gamificado,3.7142857142857144,4.285714285714286,3.4,3.888888889,2.75,4.25,4.5,4,4,4.5,4.75,2.5,3.75
d13a621d,não gamificado,2.142857142857143,1.5714285714285714,1.4,2.555555556,1.25,1.5,2,3.75,2.75,3.25,2.25,3.25,3
dc9e6a2e,gamificado,3,3.4285714285714284,1.4,3.944444444,4.5,3.25,4,3.75,4.75,3.25,4,3.75,4.25
ddc3f0f6,não gamificado,2.5714285714285716,2.5714285714285716,3.8,2.222222222,2,3,3.75,1.25,1.25,2,2.75,1,3
e941433d,não gamificado,2.5714285714285716,3,2.6,2.694444444,3,3,1.5,3.5,2,2.5,3,3.25,2.5
ecd05cb6,não gamificado,2.2857142857142856,4.571428571428571,3.8,2.083333333,2.25,1.75,2.75,2,3.75,1.25,1.5,1.25,2.25
edc27f35,não gamificado,2.857142857142857,3.7142857142857144,1.6,2.111111111,3,1.5,1.25,1.5,1.75,1.75,1.75,3.5,3
eef41bb0,gamificado,2.4285714285714284,2.7142857142857144,2.6,3.138888889,3.75,3.75,2,2.5,2.5,3.25,3.5,3.5,3.5
f0edcc26,não gamificado,2.5714285714285716,3.857142857142857,3,2.027777778,1.25,1.25,2.25,2.5,2.75,1.75,2.25,1.5,2.75
f1ffefa5,gamificado,2.142857142857143,3.7142857142857144,2.4,3,3.5,2.25,2.25,3.75,3.25,4,3.5,2,2.5
f46ef02e,não gamificado,2,2.2857142857142856,2.8,2.5,1,3.25,2,1.5,2.5,3.5,1.75,3.75,3.25
