"","UserID","cenario","media","dimensao1","dimensao2","dimensao3","dimensao4","dimensao5","dimensao6","dimensao7","dimensao8","dimensao9","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36"
"1","c0ec43e5","gamificado",3.155555556,3.25,3.5,3,2.75,3.25,3.4,3.5,3,2.75,2,4,5,2,4,4,4,2,1,3,4,4,3,4,2,2,4,5,2,2,5,4,1,5,5,1,3,5,2,4,1,5,3,5,2,1
"2","edc27f35","não gamificado",3.933333333,4,4,4,4,4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"3","3054a6b0","gamificado",3.072222222,3.25,4.25,2.25,3,4.5,3.4,2.25,3,1.75,3,1,5,4,4,4,5,4,2,1,4,2,4,1,4,3,5,3,5,5,4,2,4,1,2,5,1,1,3,5,3,1,3,1,1,2
"4","8d9eca7e","gamificado",2.155555556,1.25,2,3.5,2.75,2.25,1.4,3,1.5,1.75,1,1,2,1,2,1,3,2,5,2,2,5,3,2,4,2,2,1,3,3,1,1,2,2,3,3,3,3,2,2,1,1,2,1,1,3
"5","500813fb","gamificado",1.95,2,1.25,2.75,2,2,1.8,2.25,1.75,1.75,2,2,2,2,1,1,1,2,4,1,5,1,1,1,1,5,1,1,3,3,1,3,3,2,3,2,3,1,4,1,1,1,2,1,3,1
"6","2d7b15a3","não gamificado",2.088888889,1.5,1.75,2.5,2.75,2,1.8,2,2.25,2.25,1,1,1,3,2,2,1,2,3,3,2,2,2,3,2,4,3,3,1,1,3,1,1,3,3,2,2,1,3,2,2,2,1,2,4,2
"7","f0edcc26","não gamificado",1.911111111,2,1.5,1.5,2,2.25,2.2,2.25,1.5,2,1,2,2,3,1,1,3,1,1,1,3,1,1,5,1,1,5,1,1,2,2,1,2,1,2,2,3,2,3,1,1,1,2,2,3,1
"8","4d27a0e8","gamificado",4.083333333,3,4,4.25,4.5,4,4,5,4.75,3.25,3,3,2,4,2,5,4,5,4,5,5,3,3,5,5,5,3,4,4,5,4,4,3,4,5,5,5,5,5,4,5,5,5,3,1,4
"9","90b1796d","não gamificado",2.061111111,2,2.25,2.75,2.5,1.75,1.8,2.25,1,2.25,3,1,1,3,3,1,3,2,5,3,2,1,1,5,1,3,2,2,2,1,1,2,2,3,3,1,3,2,1,1,1,1,2,2,3,2
"10","b7c1ac58","não gamificado",3.938888889,3.5,4.75,4.5,3.25,2.75,4.2,3.25,5,4.25,2,4,4,4,5,5,5,4,4,4,5,5,5,4,3,1,1,3,3,4,5,5,5,4,3,3,3,4,5,5,5,5,4,5,4,4
"11","6a5775dd","gamificado",2.738888889,3.25,2.25,4.25,2.25,1.75,3.4,2.5,2,3,5,2,1,5,1,3,2,3,4,4,4,5,1,4,3,1,1,1,4,1,2,3,3,4,1,3,3,3,1,1,1,5,2,2,4,4
"12","7d262f2b","gamificado",2.966666667,2,3.5,3.25,3,3.5,2.2,3,2.75,3.5,1,5,1,1,5,2,4,3,4,2,5,2,3,2,5,2,5,1,3,5,2,2,3,4,1,5,1,5,5,1,4,1,5,1,3,5
"13","91a35aee","não gamificado",2.916666667,2.75,3,3.75,2.5,2.25,3,4.25,1.75,3,4,5,1,1,2,5,3,2,4,1,5,5,3,1,4,2,2,4,1,2,3,5,1,3,4,4,5,4,2,1,2,2,2,5,3,2
"14","4c35836b","gamificado",4.161111111,4.25,5,4.25,4.25,4.25,4.2,4.5,3.5,3.25,4,4,4,5,5,5,5,5,4,4,5,4,5,5,4,3,4,5,5,3,4,3,5,3,5,3,5,5,4,3,3,4,3,4,3,3
"15","f1ffefa5","gamificado",2.633333333,2.25,1.75,2.75,2,3.75,3.2,1.5,4.25,2.25,1,5,1,2,1,3,2,1,3,2,1,5,1,3,3,1,5,2,4,4,3,5,1,4,2,1,2,1,4,4,4,5,1,2,5,1
