"","UserID","cenario","media","dimensao1","dimensao2","dimensao3","dimensao4","dimensao5","dimensao6","dimensao7","dimensao8","dimensao9","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36"
"1","c0ec43e5","gamificado",3.027777778,4,3.5,2.75,1.5,3.5,4,3.5,2,2.5,2,1,2,3,3,2,2,3,2,1,3,5,3,1,1,1,3,4,2,5,4,4,3,5,3,3,5,3,4,1,1,2,5,1,3,1
"2","edc27f35","não gamificado",2.111111111,3,1.5,1.25,1.5,1.75,1.75,1.75,3.5,3,4,1,2,5,3,2,1,4,4,4,5,4,1,4,2,3,5,2,4,4,5,1,1,4,4,5,5,1,1,3,5,5,5,3,2,2
"3","3054a6b0","gamificado",1.083333333,1.5,1,1,1,1,1,1,1,1.25,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"4","8d9eca7e","gamificado",4.138888889,3.75,4,4.75,4,4.5,4.25,3.75,4.5,3.75,4,3,4,4,4,3,4,5,4,5,5,5,4,5,3,4,4,5,4,5,5,3,5,4,5,3,3,4,5,3,5,5,4,4,4,3
"5","500813fb","gamificado",3.555555556,4.25,2.75,3.75,2.25,4.25,3.75,3,4.5,3.5,1,2,1,1,2,3,3,3,5,1,5,4,1,3,3,2,2,3,1,3,1,3,2,1,2,2,2,2,1,2,1,2,2,1,1,2
"6","2d7b15a3","não gamificado",2.277777778,1.75,1.75,3.75,2.5,3.25,2.25,2.25,2,1,3,2,3,3,2,1,2,2,3,3,5,4,2,1,4,3,5,3,3,2,1,2,3,3,3,1,2,3,3,2,2,1,1,1,1,1
"7","f0edcc26","não gamificado",2.027777778,1.25,1.25,2.25,2.5,2.75,1.75,2.25,1.5,2.75,2,1,1,1,1,2,1,1,4,1,1,3,5,3,1,1,4,3,2,2,2,1,2,2,1,3,2,3,2,2,1,1,2,2,5,2
"8","4d27a0e8","gamificado",4.277777778,4,4.75,4.25,3.75,4.25,4.25,5,4.5,3.75,3,3,3,3,5,4,5,5,3,4,5,5,4,4,3,4,3,5,5,4,4,3,5,5,5,5,5,5,3,5,5,5,4,3,4,4
"9","90b1796d","não gamificado",1.888888889,1,1.25,2.75,2,2,2.25,2.25,1.75,1.75,2,2,2,2,1,1,1,2,4,1,5,1,1,1,1,5,1,1,3,3,1,3,3,2,3,2,3,1,4,1,1,1,2,1,3,1
"10","b7c1ac58","não gamificado",2.666666667,1.25,4.5,2.5,1.75,4,1.75,2,2,4.25,3,4,5,5,5,5,4,4,4,5,4,5,5,4,1,1,3,5,5,3,4,3,5,3,5,4,3,4,4,3,4,5,4,5,4,4
"11","6a5775dd","gamificado",4.194444444,4.25,4.25,4.75,4.5,4,4.5,3.75,4.25,3.5,4,4,5,4,4,4,5,4,5,5,4,5,5,5,3,5,2,5,5,4,3,5,5,5,4,5,3,3,3,5,5,4,4,4,3,3
"12","7d262f2b","gamificado",2.944444444,3.5,3.5,2.25,2,3,2.5,4,3.25,2.5,5,3,5,1,1,1,5,3,3,1,1,4,1,3,1,3,1,1,5,5,1,1,4,4,5,1,1,1,1,4,5,3,5,2,2,1
"13","91a35aee","não gamificado",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
"14","4c35836b","gamificado",4.027777778,4,4.75,4.5,4,4.25,3,3.25,4.5,4,3,4,4,5,4,5,5,5,5,4,5,4,5,5,5,1,3,4,5,5,4,3,1,4,1,4,5,3,5,4,5,4,2,5,4,5
"15","f1ffefa5","gamificado",3,3.5,2.25,2.25,3.75,3.25,4,3.5,2,2.5,3,2,2,3,4,2,1,2,2,1,1,5,2,3,5,1,4,1,1,3,4,3,4,5,5,2,4,3,3,2,1,2,3,2,1,4
"16","2c693620","não gamificado",2.166666667,2.75,2,1.75,2.25,2.75,1.5,1.25,2,3.25,4,5,5,5,4,5,4,3,4,3,5,3,4,5,4,4,4,4,3,4,5,5,5,3,5,3,5,4,3,5,5,3,3,3,3,4
"17","511a3078","gamificado",3.277777778,3,3.25,3.25,4.75,2.75,3.75,2.75,3.25,2.75,3,1,3,5,3,2,5,3,3,4,4,2,5,4,5,5,2,3,4,2,2,3,5,5,1,2,4,4,3,3,2,5,2,3,2,4
"18","8c8ce9fd","não gamificado",2.583333333,2.25,4.25,1.25,2,3.75,2,2.75,1.5,3.5,1,4,4,4,4,4,5,4,4,4,5,4,5,5,2,4,3,4,3,5,4,3,4,5,5,4,3,3,5,3,3,3,4,3,3,4
"19","31468533","gamificado",3.416666667,4.25,3.25,3,3.75,3.5,2.75,2.75,4,3.5,5,2,3,3,3,3,4,3,5,3,5,3,5,2,3,5,5,5,2,2,1,2,3,5,3,3,2,3,5,4,5,2,5,1,3,5
"20","ecd05cb6","não gamificado",2.083333333,2.25,1.75,2.75,2,3.75,1.25,1.5,1.25,2.25,1,5,1,2,1,3,2,1,3,2,1,5,1,3,3,1,5,2,4,4,3,5,1,4,2,1,2,1,4,4,4,5,1,2,5,1
"21","cba08983","não gamificado",2.194444444,1.75,1.75,2.75,3,2.25,2.75,1.75,2,1.75,3,2,3,3,1,1,2,3,1,2,5,3,4,1,3,4,1,3,2,3,3,3,2,3,3,1,1,2,3,2,2,1,2,1,1,3
"22","16365006","gamificado",3.772222222,3,3,4.25,3.2,4.5,4.5,4.25,4,3.25,3,4,4,3,2,1,2,1,4,4,2,2,4,4,2,2,3,3,2,4,2,3,3,3,3,2,2,3,2,1,4,5,4,2,2,4
"23","a0b0f6ae","gamificado",3,1.5,2.75,2.5,2.75,4,2,4,3.25,4.25,1,1,1,3,2,2,1,2,3,3,2,2,2,3,2,4,3,3,1,1,3,1,1,3,3,2,2,1,3,2,2,2,1,2,4,2
"24","0cacbb98","gamificado",4.027777778,3.75,4.5,4.25,4.25,3.75,3.75,4,4.5,3.5,2,4,2,3,3,5,5,5,5,5,5,2,4,3,5,5,3,4,3,5,4,3,4,4,4,4,4,4,4,5,4,5,4,3,3,4
"25","d13a621d","não gamificado",2.555555556,1.25,1.5,2,3.75,2.75,3.25,2.25,3.25,3,4,5,2,2,1,2,2,1,2,3,2,1,4,5,4,2,4,2,3,2,3,2,4,4,1,1,4,3,5,2,1,5,5,4,1,2
"26","6cf00ed3","não gamificado",2.888888889,2.25,4.25,2.25,3,4.5,2.75,2.25,3,1.75,3,1,5,4,4,4,5,4,2,1,4,2,4,1,4,3,5,3,5,5,4,2,4,1,2,5,1,1,3,5,3,1,3,1,1,2
"27","b166d756","gamificado",4.888888889,4.75,5,5,4.5,4.75,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"28","cc15d10e","não gamificado",3.888888889,2.75,4.25,4.5,4,4,4.5,4.75,2.5,3.75,1,5,5,4,5,4,4,4,5,4,4,5,4,4,3,5,4,5,4,3,5,3,5,5,5,5,4,5,5,3,3,3,4,5,3,3
"29","dc9e6a2e","gamificado",3.944444444,4.5,3.25,4,3.75,4.75,3.25,4,3.75,4.25,4,4,5,5,3,4,3,3,3,3,5,5,4,4,4,3,5,5,4,5,3,3,4,3,5,3,4,4,4,3,4,4,5,4,3,5
"30","1183088b","gamificado",4.111111111,4.5,4.75,4.5,3.25,2.75,4.75,3.25,5,4.25,2,4,4,4,5,5,5,4,4,4,5,5,5,4,3,1,1,3,3,4,5,5,5,4,3,3,3,4,5,5,5,5,4,5,4,4
"31","ac496445","gamificado",3.083333333,3,2.25,4.75,2.5,3.75,3,2.25,3,3.25,3,1,1,3,3,1,3,2,5,3,2,1,1,5,1,3,2,2,2,1,1,2,2,3,3,1,3,2,1,1,1,1,2,2,3,2
"32","71dfbdc0","não gamificado",2.361111111,2.5,1.5,2,2,2.5,1.25,2,3.5,4,5,3,5,5,4,3,4,3,4,3,5,4,3,4,4,5,5,3,5,5,5,4,3,5,3,3,5,5,5,4,5,4,3,5,4,4
"33","56af68f5","não gamificado",2.805555556,1.5,2,1.5,3.5,3.5,1.75,3.5,4.25,3.75,5,5,4,4,5,4,4,3,3,4,4,3,3,5,3,3,4,3,3,4,3,3,5,4,3,4,4,3,5,3,5,4,5,4,3,3
"34","8b39b170","gamificado",2.805555556,2.25,2.5,4.5,2.75,2,3,4.25,2.5,1.5,3,2,1,3,3,1,1,1,5,5,5,3,4,1,1,5,1,1,3,3,2,2,2,2,2,3,2,2,4,2,2,2,1,1,2,2
"35","ddc3f0f6","não gamificado",2.222222222,2,3,3.75,1.25,1.25,2,2.75,1,3,3,5,4,4,4,5,2,1,1,4,5,5,3,1,2,3,5,1,3,4,5,3,1,3,3,4,4,4,1,5,3,3,5,1,3,3
"36","69611158","gamificado",3.472222222,3.5,4,3.5,3.5,2.5,3.75,3.75,3.25,3.5,3,1,3,3,4,2,1,1,3,2,4,5,4,5,4,1,1,3,1,5,3,3,3,2,2,4,4,5,3,3,2,5,3,5,1,5
"37","b4f7c8dd","não gamificado",2.583333333,2.25,3.75,4,3.75,1,1.5,2.5,1.75,2.75,3,4,1,1,3,4,5,3,5,4,3,4,4,2,5,4,4,3,1,4,4,5,3,2,2,3,2,3,4,5,2,4,4,3,2,2
"38","093da413","não gamificado",1.527777778,3.25,3.5,1,1,1,1,1,1,1,2,4,5,2,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39","d4ab7d96","gamificado",4.388888889,4.75,4.5,4.5,4.25,4,4.25,5,4.25,4,1,5,5,4,4,5,5,4,4,5,4,5,5,4,3,5,3,3,5,5,3,5,5,4,5,5,5,5,5,4,3,5,5,4,4,3
"40","a9d87bce","gamificado",4.027777778,2.75,4.5,4.25,4.75,3.5,4,4.25,4.25,4,4,4,3,4,5,5,3,5,5,4,3,5,5,5,5,4,5,3,3,3,5,4,4,3,5,3,4,5,4,4,4,5,3,5,4,4
"41","744ea24b","gamificado",3.055555556,3,1.5,4.5,2,3.25,4.5,2.25,2.5,4,1,2,2,3,1,1,3,1,1,1,3,1,1,5,1,1,5,1,1,2,2,1,2,1,2,2,3,2,3,1,1,1,2,2,3,1
"42","c984ce85","não gamificado",1.888888889,1.25,1.5,3.5,1.75,2.5,1,2,1,2.5,4,1,2,2,3,2,3,2,4,4,2,4,4,5,5,1,2,2,4,2,2,2,4,4,3,2,2,1,4,4,4,4,4,4,1,1
"43","14121700","gamificado",3.527777778,3.25,4,2.5,3.75,3.5,4.5,2.25,4.5,3.5,3,1,2,3,3,1,2,2,4,4,1,1,4,2,1,4,3,1,1,1,1,1,3,1,3,2,1,3,5,1,2,2,1,1,3,1
"44","3362c235","gamificado",2.972222222,4,3,3.25,2.75,3,2.75,2.5,3.25,2.25,4,2,2,4,3,4,2,3,2,5,4,2,4,3,1,3,2,5,1,4,1,3,1,2,1,2,4,3,5,2,1,5,2,3,3,1
"45","eef41bb0","gamificado",3.138888889,3.75,3.75,2,2.5,2.5,3.25,3.5,3.5,3.5,4,2,3,2,5,3,3,4,2,1,4,1,1,5,2,2,3,2,2,3,2,4,4,3,3,5,1,5,5,4,4,1,5,2,5,2
"46","00552973","não gamificado",2.333333333,3.5,2.25,2.5,1.25,1.5,2.25,2,4,1.75,3,3,5,3,5,4,4,4,4,5,4,5,3,3,4,3,5,4,5,4,4,5,3,5,4,3,5,4,3,3,5,5,3,4,4,4
"47","f46ef02e","não gamificado",2.5,1,3.25,2,1.5,2.5,3.5,1.75,3.75,3.25,1,2,4,5,2,1,5,5,4,1,1,2,2,1,2,1,4,3,1,2,3,3,3,5,2,3,1,1,5,4,5,1,1,4,4,4
"48","29f829ab","não gamificado",2.388888889,1.75,1.5,3.25,4,2.25,2.25,2.25,2.25,2,1,1,2,3,2,2,1,1,2,3,4,4,5,3,3,5,3,3,2,1,3,1,3,2,2,3,2,2,4,1,2,2,1,1,3,3
"49","0ec7e6c2","gamificado",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"50","94324565","gamificado",3.527777778,3,3.25,4.5,3.75,3.25,4.25,3.5,3,3.25,3,2,5,2,5,2,3,3,4,5,5,4,3,3,5,4,4,2,4,3,3,4,5,5,3,4,3,4,3,4,2,3,3,3,2,5
"51","be4d70e5","não gamificado",2.694444444,3.25,2.25,4.25,2.25,1.75,3,2.5,2,3,5,2,1,5,1,3,2,3,4,4,4,5,1,4,3,1,1,1,4,1,2,3,3,4,1,3,3,3,1,1,1,5,2,2,4,4
"52","49a49ce0","gamificado",4.111111111,4.25,4.5,4.5,3.75,4.5,4.25,3.75,4,3.5,4,5,4,4,5,3,5,5,5,4,5,4,3,3,4,5,4,5,5,4,5,5,3,4,4,4,4,3,4,5,4,3,3,3,3,5
"53","3b4ccbc1","gamificado",4.083333333,4.5,5,4.25,4.25,3.5,4.25,4,3.5,3.5,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,5,2,3,5,4,5,3,4,5,3,5,3,5,3,4,3,4,3,3,3,5
"54","34d79ab8","não gamificado",2.111111111,2.75,2.25,1.5,2,2.75,1.75,2,2.5,1.5,1,1,3,2,2,2,2,3,1,2,1,2,3,1,3,1,3,3,3,2,2,2,1,2,1,1,3,3,5,2,1,2,2,1,2,1
"55","e941433d","não gamificado",2.694444444,3,3,1.5,3.5,2,2.5,3,3.25,2.5,5,3,3,5,2,1,4,5,1,2,1,2,3,3,5,3,2,1,4,1,2,4,1,3,1,2,4,5,5,2,2,4,1,5,3,1
"56","bd9f45bd","não gamificado",3.027777778,2,3.5,3.25,3,3.5,2.75,3,2.75,3.5,1,5,1,1,5,2,4,3,4,2,5,2,3,2,5,2,5,1,3,5,2,2,3,4,1,5,1,5,5,1,4,1,5,1,3,5
"57","35c5b93b","não gamificado",1.75,1.5,1.5,1.75,2,1.5,1.25,2.75,2,1.5,5,5,4,4,4,3,4,3,3,3,4,5,4,4,5,3,4,4,3,3,4,4,5,4,4,5,5,5,5,4,4,3,3,3,5,3
"58","60099c38","não gamificado",3.694444444,2,3.75,4.25,4,3.75,4.5,4.25,3,3.75,5,5,3,3,5,3,4,3,4,5,3,5,5,4,4,3,4,4,3,4,3,5,5,5,4,5,5,3,3,3,3,3,5,3,3,4
"59","4779490d","não gamificado",2.666666667,3.25,5,1.25,1.25,1.25,1.75,4.5,2.5,3.25,4,4,4,5,5,5,5,5,4,4,5,4,5,5,4,3,4,5,5,3,4,3,5,3,5,3,5,5,4,3,3,4,3,4,3,3
"60","9aef9088","gamificado",3.361111111,4.75,2.5,3.25,4.75,3,3,4,3.25,1.75,4,3,3,5,1,4,1,4,4,1,5,3,5,4,5,5,3,3,1,5,4,1,3,4,5,2,4,5,3,4,3,3,2,2,1,2
