"","UserID","cenario"
"1","7b3f904c","gamificado"
"2","c0ec43e5","gamificado"
"3","edc27f35","não gamificado"
"4","3054a6b0","gamificado"
"5","8d9eca7e","gamificado"
"6","500813fb","gamificado"
"7","2d7b15a3","não gamificado"
"8","f0edcc26","não gamificado"
"9","4d27a0e8","gamificado"
"10","90b1796d","não gamificado"
"11","b7c1ac58","não gamificado"
"12","6a5775dd","gamificado"
"13","7d262f2b","gamificado"
"14","91a35aee","não gamificado"
"15","4c35836b","gamificado"
"16","f1ffefa5","gamificado"
"17","2c693620","não gamificado"
"18","511a3078","gamificado"
"19","8c8ce9fd","não gamificado"
"20","31468533","gamificado"
"21","ecd05cb6","não gamificado"
"22","cba08983","não gamificado"
"23","16365006","gamificado"
"24","a0b0f6ae","gamificado"
"25","0cacbb98","gamificado"
"26","d13a621d","não gamificado"
"27","6cf00ed3","não gamificado"
"28","b166d756","gamificado"
"29","cc15d10e","não gamificado"
"30","dc9e6a2e","gamificado"
"31","1183088b","gamificado"
"32","ac496445","gamificado"
"33","71dfbdc0","não gamificado"
"34","56af68f5","não gamificado"
"35","8b39b170","gamificado"
"36","ddc3f0f6","não gamificado"
"37","69611158","gamificado"
"38","b4f7c8dd","não gamificado"
"39","093da413","não gamificado"
"40","d4ab7d96","gamificado"
"41","a9d87bce","gamificado"
"42","744ea24b","gamificado"
"43","c984ce85","não gamificado"
"44","14121700","gamificado"
"45","3362c235","gamificado"
"46","eef41bb0","gamificado"
"47","00552973","não gamificado"
"48","f46ef02e","não gamificado"
"49","29f829ab","não gamificado"
"50","0ec7e6c2","gamificado"
"51","94324565","gamificado"
"52","be4d70e5","não gamificado"
"53","49a49ce0","gamificado"
"54","3b4ccbc1","gamificado"
"55","34d79ab8","não gamificado"
"56","e941433d","não gamificado"
"57","bd9f45bd","não gamificado"
"58","35c5b93b","não gamificado"
"59","60099c38","não gamificado"
"60","4779490d","não gamificado"
"61","9aef9088","gamificado"
