ID,cenario,realizacao,Acom0,Acom5,Acom9,AAva2,Acom3,Acom8,Acom6,social,Ssoc6,Ssoc7,Ssoc8,Srel1,Stra2,Srel0,Srel9,imersao,Icus3,Icus1,Irol8,Icus0,Icus9,dfs,dfs.i1,dfs.i2,dfs.i3,dfs.i4,dfs.i5,dfs.i6,dfs.i7,dfs.i8,dfs.i9,fss,fss.i1,fss.i2,fss.i3,fss.i4,fss.i5,fss.i6,fss.i7,fss.i8,fss.i9
P01,gamificado,2.571428571,2,2,3,4,1,5,1,2.428571429,2,2,3,3,1,5,1,2,2,2,1,3,2,2.888888889,2,5,3,1,4,5,1,2,3,3.333333333,1,4,3,4,1,5,3,5,4
P02,não.gamificado,3,2,2,5,4,2,1,5,2.857142857,1,3,2,3,5,5,1,1.8,3,1,1,2,2,2.666666667,3,2,2,3,4,3,2,2,3,3.333333333,5,4,5,4,1,3,3,3,2
P03,gamificado,1.714285714,1,1,3,2,1,3,1,2.857142857,2,3,3,2,1,4,5,5.4,1,5,6,7,8,2.888888889,1,2,3,4,4,5,2,2,3,2.111111111,1,2,3,2,1,2,3,2,3
P04,gamificado,3.142857143,1,3,5,4,4,4,1,2.857142857,1,2,4,1,4,4,4,1.6,2,2,1,2,1,3.333333333,3,3,1,3,5,1,5,5,4,3.444444444,5,5,1,5,3,1,1,5,5
P05,não.gamificado,2.857142857,4,2,2,2,3,5,2,2.285714286,1,1,1,3,3,5,2,4,3,5,5,5,2,3.444444444,1,4,4,4,3,5,1,5,4,2.777777778,2,3,3,4,5,1,2,3,2
P06,gamificado,1.857142857,1,1,2,1,4,2,2,3.428571429,3,2,4,5,5,4,1,2.4,5,1,1,4,1,3.666666667,5,1,4,2,5,5,5,2,4,2.777777778,2,2,4,5,1,3,5,2,1
P07,gamificado,2,1,2,2,2,1,3,3,3.428571429,5,2,2,4,5,4,2,3.6,1,5,4,4,4,3,5,5,1,3,2,2,3,3,3,2.888888889,1,4,3,3,2,3,2,5,3
P08,não.gamificado,3,2,4,3,1,4,5,2,3.857142857,4,5,5,2,5,4,2,2.6,5,3,3,1,1,2.222222222,2,1,3,4,4,3,1,1,1,2.666666667,2,2,4,3,2,5,1,3,2
P09,gamificado,2.571428571,1,4,5,1,4,2,1,1.857142857,2,2,1,5,1,1,1,3,4,3,2,1,5,3,4,1,3,3,5,2,3,2,4,3.111111111,4,1,4,1,3,2,5,4,4
P10,gamificado,3,3,1,3,5,1,5,3,2.142857143,2,3,4,1,1,3,1,2.8,4,3,1,1,5,2.888888889,3,2,5,1,3,3,4,1,4,3.333333333,5,4,3,2,2,4,1,4,5
