ID,cenario,realizacao,Acom0,Acom5,Acom9,AAva2,Acom3,Acom8,Acom6,social,Ssoc6,Ssoc7,Ssoc8,Srel1,Stra2,Srel0,Srel9,imersao,Icus3,Icus1,Irol8,Icus0,Icus9,pre.score,pos.score,dif.score
P01,gamificado,2.571428571,2,2,3,4,1,5,1,2.428571429,2,2,3,3,1,5,1,2,2,2,1,3,2,5.25,7.00,1.75
P02,não.gamificado,3,2,2,5,4,2,1,5,2.857142857,1,3,2,3,5,5,1,1.8,3,1,1,2,2,5.00,8.50,3.50
P03,gamificado,1.714285714,1,1,3,2,1,3,1,2.857142857,2,3,3,2,1,4,5,5.4,1,5,6,7,8,2.75,6.00,3.25
P04,gamificado,3.428571429,4,5,1,5,4,3,2,3.142857143,2,4,4,2,5,3,2,4,5,5,1,4,5,1.67,6.32,4.65
P05,não.gamificado,2.857142857,1,2,5,3,3,1,5,2.857142857,1,3,2,3,1,5,5,3.6,5,2,4,4,3,1.81,8.99,7.18
P06,gamificado,3,3,1,5,1,2,5,4,2,3,2,2,1,1,3,2,3.6,3,5,2,4,4,0.90,5.44,4.54
P07,gamificado,3,3,5,1,5,1,2,4,2.142857143,3,1,3,3,1,3,1,3,3,2,4,1,5,1.38,9.93,8.55
P08,não.gamificado,3.428571429,2,1,3,5,4,4,5,3,4,3,2,4,1,3,4,2.6,4,1,1,4,3,9.52,4.97,-4.55
P09,gamificado,3,3,1,3,2,5,5,2,2.857142857,3,1,1,3,4,3,5,3.2,2,4,5,4,1,7.84,2.70,-5.14
P10,gamificado,3.714285714,1,3,5,5,4,4,4,3.142857143,2,5,3,1,3,5,3,2.4,1,3,2,2,4,1.31,4.87,3.56
P11,não.gamificado,2.428571429,2,2,5,2,1,3,2,3,2,3,4,5,1,2,4,3.4,3,4,4,1,5,5.68,8.21,2.53
P12,gamificado,3.571428571,5,1,5,4,2,5,3,3.857142857,5,1,3,5,4,4,5,2,1,1,1,5,2,3.87,4.56,0.68
P13,gamificado,2.857142857,4,2,3,3,2,5,1,3.285714286,5,1,5,5,1,2,4,3.6,2,5,5,4,2,6.77,7.85,1.08
P14,não.gamificado,3.571428571,5,1,5,4,3,5,2,3.142857143,1,5,2,4,4,4,2,3,4,5,1,1,4,5.20,9.04,3.83
P15,gamificado,3.142857143,5,4,2,1,5,3,2,3.571428571,4,1,2,5,5,5,3,3.2,5,2,5,3,1,8.06,2.99,-5.07
P16,gamificado,4,1,5,5,5,2,5,5,2.571428571,1,1,3,1,5,5,2,4,3,4,5,3,5,4.78,2.56,-2.22
P17,não.gamificado,2.857142857,4,1,2,4,5,2,2,3.285714286,4,3,2,2,5,2,5,3.4,5,2,2,4,4,3.22,3.44,0.22
P18,gamificado,3,2,3,3,1,5,3,4,3,2,1,3,5,5,1,4,3.6,5,1,5,5,2,1.32,7.28,5.96
P19,gamificado,4.142857143,4,3,5,2,5,5,5,2,1,2,2,2,2,2,3,3,4,1,3,2,5,5.66,8.32,2.66
P20,não.gamificado,3.428571429,5,5,2,1,5,2,4,2,1,4,3,2,1,2,1,3.2,2,4,5,1,4,3.19,7.43,4.24
P21,gamificado,3,2,1,3,4,4,3,4,3.142857143,5,2,3,4,3,2,3,2.8,5,2,1,5,1,7.66,6.14,-1.52
P22,gamificado,2.714285714,5,3,2,3,1,2,3,2.428571429,4,4,1,1,1,1,5,2.8,5,2,2,1,4,7.71,3.66,-4.05
P23,não.gamificado,3.714285714,5,5,2,3,5,5,1,3,4,4,5,2,2,1,3,3,5,2,2,4,2,5.62,6.18,0.55
P24,gamificado,3.428571429,3,5,5,2,1,3,5,2.857142857,4,1,5,2,1,2,5,3,2,5,1,2,5,4.81,2.19,-2.62
P25,gamificado,4,4,5,5,3,1,5,5,2.285714286,2,1,2,1,4,2,4,3.2,1,4,5,4,2,9.18,2.30,-6.88
P26,não.gamificado,2.285714286,3,1,1,4,4,2,1,2.857142857,3,2,3,3,4,4,1,2,2,1,2,1,4,3.93,8.43,4.50
P27,gamificado,3.142857143,3,2,5,1,3,3,5,3.285714286,3,4,4,4,2,5,1,3.4,2,1,5,4,5,3.66,7.87,4.21
P28,gamificado,3,4,1,1,2,4,4,5,2.857142857,4,5,2,2,1,5,1,2.6,2,2,3,4,2,0.64,2.97,2.33
P29,não.gamificado,3.285714286,3,5,3,4,2,2,4,2.428571429,3,1,2,5,4,1,1,2.4,4,1,4,2,1,8.29,2.17,-6.12
P30,gamificado,2.428571429,1,1,1,5,5,1,3,2.571428571,3,2,1,4,1,5,2,4,5,5,4,2,4,0.08,2.01,1.93
P31,gamificado,2.857142857,3,5,5,2,1,2,2,3,3,3,4,1,5,3,2,3.4,2,3,5,2,5,1.01,3.06,2.05
P32,não.gamificado,2.571428571,3,3,3,2,3,2,2,2.857142857,3,3,1,3,5,1,4,3,3,4,2,2,4,2.11,8.53,6.41
P33,gamificado,3.571428571,4,2,1,5,5,4,4,3.142857143,3,5,5,5,2,1,1,2.4,1,1,5,3,2,2.72,3.89,1.17
P34,gamificado,3.428571429,2,5,5,4,1,4,3,3.428571429,3,3,4,3,3,3,5,3.8,5,5,5,2,2,8.54,4.28,-4.26
P35,não.gamificado,3.285714286,4,2,4,5,3,3,2,3.428571429,5,4,3,3,3,2,4,2.6,2,3,1,3,4,8.55,2.79,-5.76
P36,gamificado,4.428571429,5,5,5,5,2,5,4,2.428571429,2,1,2,3,4,4,1,2.8,1,4,3,1,5,7.06,8.05,0.99
P37,gamificado,3,1,3,5,2,3,5,2,3.142857143,2,2,4,5,4,2,3,3.2,2,2,5,2,5,4.50,7.41,2.92
P38,não.gamificado,2.142857143,3,5,1,2,1,2,1,4,2,3,4,5,4,5,5,4,5,2,3,5,5,8.90,6.65,-2.25
P39,gamificado,2.428571429,3,4,1,3,2,2,2,3.142857143,3,4,5,3,4,1,2,2.8,4,2,3,2,3,9.09,7.48,-1.61
P40,gamificado,2.714285714,4,2,5,1,1,3,3,2.714285714,5,4,3,1,1,1,4,2.6,1,4,2,3,3,5.52,3.35,-2.16
P41,não.gamificado,2.714285714,1,2,3,4,5,3,1,1.857142857,2,2,3,3,1,1,1,3.2,2,3,3,5,3,8.85,9.89,1.04
P42,gamificado,3.285714286,2,2,5,4,1,4,5,2.285714286,1,1,1,5,1,4,3,3,5,5,2,1,2,3.44,9.82,6.39
P43,gamificado,3.142857143,1,4,1,5,5,4,2,2.285714286,2,1,2,5,1,4,1,2.2,4,1,4,1,1,7.06,5.45,-1.61
P44,não.gamificado,2.857142857,1,2,3,4,2,3,5,2.428571429,2,2,1,2,4,3,3,3.6,4,5,3,5,1,7.87,9.18,1.31
P45,gamificado,2.857142857,1,4,3,5,1,4,2,3,5,3,2,3,2,4,2,1.6,1,3,2,1,1,5.21,6.82,1.61
P46,gamificado,2.857142857,2,3,5,2,2,3,3,3.285714286,1,3,4,3,4,3,5,3,1,5,3,1,5,3.02,2.97,-0.04
P47,não.gamificado,2.571428571,1,2,5,2,5,1,2,3.571428571,2,3,4,5,2,5,4,3.6,5,4,3,2,4,5.54,9.16,3.62
P48,gamificado,3,5,3,5,3,3,1,1,3.142857143,4,3,1,4,3,2,5,2.8,3,5,2,3,1,2.89,5.90,3.01
P49,gamificado,3.857142857,3,5,4,3,5,5,2,2.714285714,4,5,1,4,2,2,1,3.2,4,4,4,3,1,3.72,5.41,1.69
P50,não.gamificado,3.285714286,3,3,3,5,3,3,3,3.571428571,5,2,5,4,5,2,2,2.8,4,5,1,2,2,2.33,9.74,7.41
P51,gamificado,2.857142857,2,4,1,3,4,1,5,3.142857143,3,4,2,5,3,3,2,3.6,5,5,3,1,4,0.27,8.79,8.52
P52,gamificado,3.285714286,1,5,2,5,5,1,4,3,2,1,5,3,1,4,5,3.4,4,2,4,2,5,2.45,4.31,1.86
P53,não.gamificado,3.714285714,4,3,4,3,4,4,4,3.571428571,4,5,4,2,2,4,4,3.4,2,5,2,3,5,5.92,9.54,3.61
P54,gamificado,3.714285714,3,5,4,5,4,1,4,2.571428571,3,1,3,4,4,1,2,2.4,1,2,5,2,2,3.43,3.16,-0.27
P55,gamificado,2.571428571,1,4,1,5,5,1,1,2.428571429,1,3,5,2,2,3,1,3.6,4,3,1,5,5,6.92,2.89,-4.03
P56,não.gamificado,2.571428571,1,5,3,2,1,2,4,3.142857143,2,3,3,3,4,3,4,2.8,5,3,1,3,2,7.06,2.47,-4.59
P57,gamificado,2.857142857,2,4,3,4,3,1,3,2.571428571,2,2,1,3,1,4,5,3,3,2,1,5,4,5.16,5.17,0.01
P58,gamificado,3.142857143,5,1,3,5,3,3,2,3.428571429,3,2,5,4,4,4,2,2.6,2,3,4,2,2,6.67,9.53,2.86
P59,gamificado,3.857142857,2,5,5,1,5,4,5,3.571428571,4,5,1,3,4,5,3,3,4,4,2,1,4,9.45,6.66,-2.80
