cenario,variable,n,min,max,median,q1,q3,iqr,mad,mean,sd,se,ci
gamificado,dimensao1,28,1.5,4.75,3.75,3,4.25,1.25,0.741,3.661,0.776,0.147,0.301
gamificado,dimensao2,28,1.5,5,3.5,2.938,4.5,1.562,1.112,3.562,0.927,0.175,0.359
gamificado,dimensao3,28,2,4.75,4.25,3.188,4.5,1.312,0.741,3.759,0.888,0.168,0.344
gamificado,dimensao4,28,1.5,4.75,3.75,2.75,4.062,1.312,0.778,3.454,0.906,0.171,0.351
gamificado,dimensao5,28,2,4.75,3.5,3,4.062,1.062,0.741,3.545,0.704,0.133,0.273
gamificado,dimensao6,28,2,4.75,3.875,3,4.25,1.25,0.927,3.705,0.727,0.137,0.282
gamificado,dimensao7,28,2.25,5,3.75,3.188,4,0.812,0.556,3.571,0.745,0.141,0.289
gamificado,dimensao8,28,2,5,3.625,3.25,4.312,1.062,0.927,3.643,0.806,0.152,0.313
gamificado,dimensao9,28,1.5,4.25,3.5,3.125,3.812,0.688,0.556,3.33,0.73,0.138,0.283
gamificado,media,28,2.806,4.389,3.528,3.076,4.042,0.965,0.741,3.581,0.497,0.094,0.193
não gamificado,dimensao1,28,1,3.5,2.125,1.5,2.75,1.25,0.927,2.152,0.756,0.143,0.293
não gamificado,dimensao2,28,1.25,5,2.25,1.5,3.562,2.062,1.112,2.625,1.166,0.22,0.452
não gamificado,dimensao3,28,1,4.5,2.375,1.688,3.312,1.625,1.297,2.536,1.049,0.198,0.407
não gamificado,dimensao4,28,1,4,2.125,1.75,3.125,1.375,1.112,2.438,0.947,0.179,0.367
não gamificado,dimensao5,28,1,4.5,2.5,1.75,3.5,1.75,1.297,2.571,1.004,0.19,0.389
não gamificado,dimensao6,28,1,4.5,2,1.688,2.75,1.062,0.741,2.205,0.921,0.174,0.357
não gamificado,dimensao7,28,1,4.75,2.25,2,2.75,0.75,0.741,2.455,0.9,0.17,0.349
não gamificado,dimensao8,28,1,4.25,2.125,1.75,3.062,1.312,0.927,2.384,0.927,0.175,0.359
não gamificado,dimensao9,28,1,4.25,2.875,1.75,3.312,1.562,1.112,2.679,0.923,0.174,0.358
não gamificado,media,28,1.528,3.889,2.375,2.111,2.674,0.563,0.432,2.449,0.52,0.098,0.202
